complaint_id,product,sub_product,issue,sub_issue,state,company,date_received,complaint_what_happened,escalated,labeler_notes
14393935,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was paid,GA,Central Portfolio Control Inc.,2025-07-01,,1,
16297256,Debt collection,Credit card debt,Communication tactics,"Used obscene, profane, or other abusive language",MI,DISCOVER BANK,2025-10-01,,1,
8671767,Debt collection,Credit card debt,Electronic communications,Frequent or repeated messages,OH,U.S. BANCORP,2024-04-01,"XXXX XXXX XXXX XXXX is trying to collect {$XXXX} from XXXX of my accounts... 

I have been really sick for about a year and lost my income. I am not sure what to do?",1,
6388608,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,AR,SLM CORPORATION,2023-01-02,,1,
6383960,Debt collection,Medical debt,Written notification about debt,Didn't receive notice of right to dispute,FL,The Law Offices of Mitchell D. Bluhm & Associates,2023-01-02,,1,
7635186,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,FL,CAPITAL ONE FINANCIAL CORPORATION,2023-10-03,"XXXX XXXX XXXX along with account XXXX XXXXXXXX were opened as a result of identity theft. My information was stolen and used without my permission. I brought this to the attention of CapitalOne, however they are still attempting to collect this debt and illegally reporting it it the credit bureaus. Please see attachment.",1,
7619977,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,CA,Torriere Holdings INC,2023-10-02,"I am writing the CFPB to inform you of the improprieties conducted on behalf of Spire Recovery Solutions. Spire Recovery Solutions has no Proof of Authority, written consent, or court order that gives them permission to report anything about XXXX XXXX XXXX publicly. The FDCPA Fair Debt Collection Practices Act was put in place to protect consumers from such trespasses. XXXX XXXX is in direct violation of my right to privacy as pursuant to the Bill of Rights. Spire Recovery Solutions is Defaming my name and character to the public and is also in violation of the US Constitution. These discriminatory transactions that are being reported are impacting my ability to attain goods like buying a home for my personal, family, or household needs. My intent is to seek remedy in Federal Court",1,
6789739,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was result of identity theft,CA,Receivables Management Corporation,2023-04-03,,1,
6768448,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,NY,"Spring Oaks Capital, LLC",2023-04-02,,1,
7628179,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,PA,AVANTE,2023-10-02,,1,
20843560,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,NY,BARCLAYS BANK DELAWARE,2026-04-01,,1,
6787692,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,NC,"RentDebt Automated Collections, LLC",2023-04-03,This is not mines,0,
8666627,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,VA,Experian Information Solutions Inc.,2024-04-01,"This serves as an effort to rectify inaccurate information present in my credit report as published by your company. Following a credit denial attributed to the dissemination of inaccurate details, I wish to formally communicate that I did not provide authorization or instructions for the inclusion of these specific transactions in my consumer report. 
I am formally requesting the blocking and deletion of these accounts. 
It is crucial to emphasize that this request is not erroneous and is not grounded in any material misrepresentation concerning the necessity to block these transactions. The following are the accounts that I wish to remove from my credit report :",1,
12760781,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was result of identity theft,MO,"M.A.R.S., Inc.",2025-04-01,"To Whom It May Concern, I recently reviewed my credit reports and was shocked to find a collection account from XXXX XXXX XXXX for what is purported to be a XXXX XXXX Apartments debt. I am formally disputing this collection, as I do not recognize the debt and have no recollection of ever having this account. Furthermore, I have never received any communicationwhether by phone, text, email, or mailregarding this alleged debt. This includes the Dunning letter that is required to notify a consumer of a collection. The lack of prior notification has raised significant concerns regarding the validity and accuracy of this account. Due to this erroneous reporting, I have encountered difficulties securing credit, which is now directly impacting my ability to obtain a home loan.",1,
6387522,Debt collection,Credit card debt,False statements or representation,"Impersonated attorney, law enforcement, or government official",NV,Patenaude & Felix A Professional Corporation,2023-01-02,"Patenaude and Felix APC Isa debt collector for XXXX XXXX. During the pandemic my account went to collections. My wife and I had a joint account. Patenaude and Felix sent garnishment letters from XXXX to XXXX. They began my wages weekly in XX/XX/XXXX. My wife contacted them to resolve her issue or put blame me. My wife and I are separated and not speaking with each other. Patenaude and Felix APC sent legal documents to my payroll department at the XXXX XXXX XXXX in XX/XX/XXXX. My name is the only name mentioned on a joint account with my wife XXXX XXXX. ( Credit card ending XXXX ) The garnishment is weekly between {$99.00} to {$110.00}. My wages at the is XXXX hourly. What Justice would approve garnishment of my wages? I think it maybe a scam. The garnishment totals $ XXXX monthly. There's many scammer 's out there. My apartment complex make fraudulent charges too. 

*Please cancel my current complaint XXXX. It was entered incorrectly. My apologies.",1,
20846733,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,NJ,First Credit Services Inc.,2026-04-01,,0,
7202622,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was result of identity theft,IN,"W&A Intermediate Co., LLC",2023-07-04,"XXXX verified a medical debt that is open but that is also a collection account. 
With a balance that is increasing daily. This is not my debt. I want it validated. Where is my signature. It's wrong to come after me with fraudulent debt/information..My credit score is hurting from the Lies of Wakefield & Association . I didn't open any debt in XXXX of any year. Balance on this collection is going up and my credit score is hurting. Please help!",1,
18406113,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,IL,"Kriya Capital, LLC",2026-01-01,CREDENCE RESOURCE MANA is falsely reporting on my credit. I have never had any accounts with them. Per my research CREDENCE RESOURCE MANA is a debt collector. They are falsely reporting on my credit!! Account number is XXXXXXXX XXXX XXXX XXXX XXXX  is falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.,1,
7185470,Debt collection,I do not know,Communication tactics,"You told them to stop contacting you, but they keep trying",FL,LANIER COLLECTIONS AGENCY AND SERVICES INC,2023-07-01,,0,
8671142,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,NY,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-04-01,"This serves as an effort to rectify inaccurate information present in my credit report as published by your company. Following a credit denial attributed to the dissemination of inaccurate details, I wish to formally communicate that I did not provide authorization or instructions for the inclusion of these specific transactions in my consumer report. 
I am formally requesting the blocking and deletion of these accounts. 
It is crucial to emphasize that this request is not erroneous and is not grounded in any material misrepresentation concerning the necessity to block these transactions. The following are the accounts that I wish to remove from my credit report :",1,
7618962,Debt collection,Telecommunications debt,Written notification about debt,Didn't receive enough information to verify debt,IL,"Southwest Credit Systems, L.P.",2023-10-02,,0,
7627674,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,NC,ENCORE CAPITAL GROUP INC.,2023-10-01,,0,
7627901,Debt collection,I do not know,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,FL,"I.C. System, Inc.",2023-10-01,,0,
6382370,Debt collection,Auto debt,Attempts to collect debt not owed,Debt is not yours,FL,"EQUIFAX, INC.",2023-01-01,On XXXX Equifax responded to complaint # XXXX and advised that the disputed item XXXX XXXX XXXX is no longer being reported on my consumer report. Can you please advise the date that the account was removed from my consumer report?,1,
18399533,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,TX,United Revenue Corporation,2026-01-01,,0,
11343966,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,NC,Kikoff Inc.,2025-01-01,"I have submitted a second written request to XXXX, disputing the following unverified accounts on my credit report : XXXX XXXX : Account # XXXXXXXX XXXX XXXX Accounts # XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX  : Account # XXXXXXXX XXXX  : Account # XXXX In my initial dispute, XXXX indicated these items were verified as accurate. However, I have not received any original documentation bearing my signature, as required under Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ) of the Fair Credit Reporting Act ( FCRA ). Per Section 611 ( 5 ) ( A ), information that can not be verified must be promptly deleted.

I",1,
20832584,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,MA,"United Collection Bureau, Inc.",2026-04-01,,1,
6388118,Debt collection,Auto debt,Attempts to collect debt not owed,Debt is not yours,PA,CAPITAL ONE FINANCIAL CORPORATION,2023-01-02,,1,
7622798,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,TX,"Bread Financial Holdings, Inc.",2023-10-02,,1,
7624208,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,OH,Experian Information Solutions Inc.,2023-10-01,"XXXX XXXX XXXX XXXX ( Incorrect account please validate ) And delete XXXX XXXX  late payment XXXX XXXX XXXX XXXX ( Incorrectly reported please delete ) XXXX  XXXX late payment XX/XX/XXXX incorrectly reported. ( Account no longer open please delete ) Account has been removed from XXXX XXXX  remove from all other credit reporting XXXX late payment XX/XX/XXXX accountclosed late payment inaccurate has been removed from ( XXXX XXXX ) Please remove from all other credit reporting XXXX XXXX account was fraudulently charged/ ( The accounts has also been charged off ) please delete XXXX Late payment incorrect reporting account is paid as agreed please update and And correct XXXX XXXX ( account was charged fraudulently identity theft ) please delete. 

XXXX XXXX XXXX XXXX ( Account was fraudulently charged due to identity theft please remove and delete ) XXXX XXXX  ( account was fraudulently charged due to Identity theft. Account also is a third party and not validated ) please remove and delete XXXX XXXX XXXX Consumer has agreement with XXXX XXXX XXXX  To extend the payment due date XXXX XXXX XXXX XXXX XXXX late payment is invalid please correct.",1,
8663582,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,TX,"EQUIFAX, INC.",2024-04-01,,1,
6783766,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,MS,"Portfolio Recovery Associates, LLC",2023-04-01,"I have obtained my credit report and found accounts Ive never opened, and addresses I never resided, inquiries I never made and also different variations to my name. I also found this account that I believe is not mine : Acct name : PORTFOLIO RECOVERY XXXX XXXX XXXX XXXX XXXX XXXX XXXX  I am not liable for this debt and I do not have a contract with : Company : PORTFOLIO RECOVERY Ive filed multiple disputes. Filed a complaint with the XXXX. Ive attached Police report & also letters Ive sent PORTFOLIO RECOVERY. I also plan to consult with an attorney about this matter. Please delete this account from my credit report at once. I need a response from this company",1,
14399112,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,TX,Experian Information Solutions Inc.,2025-07-01,,1,
7618901,Debt collection,Other debt,False statements or representation,Attempted to collect wrong amount,PA,TRANSWORLD SYSTEMS INC,2023-10-02,"I recievd a letter stating that I owe more than XXXX XXXX XXXX XXXX XXXX XXXX, yet i have an XXXX from my homestate of PA. I have been overcharged constantly as the XXXX company is given the ability to withdraw money from my account whenever they want. I had tried to settle the situation with a representative and was told that if I paid money the day we were on the phone, the remaining balance would have been fulfilled",1,
6768163,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was paid,FL,"The Outsource Group, Inc",2023-04-02,My daughter was in an accident and had an emergency room visit on XX/XX/XXXX. After my insurance pad their part I was left owing {$380.00}. I paid this with my XXXX card directed the payment from my XXXX website XX/XX/XXXX the payment was made directly to the provider XXXX XXXX XXXX XXXX XXXX and the payment cleared with my XXXX provider on XX/XX/XXXX. I received a collection notice from XXXX XX/XX/XXXX. I emailed them with proof of the cleared payment and also Called and spoke with XXXX on XX/XX/XXXX who confirmed they received the information and were waiting for the dispute process to clear. XX/XX/XXXX I received ANOTHER collection notice from XXXX. I have emailed them again with the same information that had me provide them previously. This is ridiculous that I have to continue this same communication with them to protect my credit when they have BEEN paid for almost 18 months.,1,
10291867,Debt collection,Private student loan debt,Written notification about debt,Didn't receive enough information to verify debt,TN,IQOR US INC,2024-10-01,"I mailed a debt validation letter on XX/XX/year> to Allied Interstate, LLC. I asked them to provide proof that I owed the debt and proof that they are the correct company to pay. They did not provide the documents requested. Instead they have continued to send me debt collection documents.",1,
10311559,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,IL,Experian Information Solutions Inc.,2024-10-01,,1,
12765343,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,FL,"Bounce AI, Inc.",2025-04-01,,1,
8088187,Debt collection,Other debt,Took or threatened to take negative or legal action,Collected or attempted to collect exempt funds,NY,"Frontline Asset Strategies, LLC",2024-01-01,"on XX/XX/24 i received a letter stating i owed a debt to XXXX. it was from frontline asset strategies , LLC. they mentioned the amount i owed XXXX, which was {$900.00}. This is an incorrect amount, as i do owe XXXX money but, it was about XXXX dollars i had left to pay for an installment and another XXXX for a watch i had with XXXX. As for why I left XXXX with this bill? Lets just say I stood longer than anyone in my position with this company would have stayed. They made a very big mistake on my account and admitted they made one but still stuck me with a big bill I wasnt liable for. Its a long story i wont go into here. but frontline is claiming i owe XXXX dollars but didnt give me a breakdown of my bill. Then they said they can garnish 90 PERCENT of my earnings over 90 days if they get a judgement against me in court. This is illegal in XXXX where i live as they are only allowed to take 25 % MAXIMUM. If im wrong please someone tell me because this is making me angry as XXXX is still harassing me for this. Im going to sue frontline if they try this on me.",1,
11339957,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was result of identity theft,GA,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2025-01-01,,1,
7199713,Debt collection,Other debt,False statements or representation,Attempted to collect wrong amount,DC,T.S. Holdings,2023-07-03,"On XX/XX/XXXX I contacted XXXX XXXX XXXX Department to receive clarification on a rental balance from XXXX at XXXX XXXX XXXX. While speaking with the representative he mentioned there was a balance of XXXX for XXXX XXXX under XXXX XXXX, no account number was available for this account or other information and was instructed to XXXX the management company for contact information. Immediately I searched the web and found XXXX XXXX contact information. I made the phone call to XXXX XXXX on XX/XX/XXXX and was directed to contact via email XXXX and collection agency XXXX XXXX. Once I called XXXXIQ data that day with the balance reported to XXXX XXXX XXXX XXXX XXXX my name apartment location and year they werent able to locate me and said they will call me back. I then sent an email requesting information on balance and account number. I received a reply back from XXXX stating he had no account number but a balance of XXXX, which was different than XXXX  data. On XX/XX/XXXX I contacted XXXX /IQ data to inquiry on my previous call and gave the balance and my social security number, the year and name of the Apartments. The representative stated he had found the account with that balance, stated if I paid in full I can receive a deletion letter, I asked if there were any settlements available on the debt, he mentioned no and could assist with a hardship application that could help with services to assist me in the balance but I wouldnt receive a deletion letter. I was told the account didnt go to a collections company. He then told me in order to get the deletion letter I will have to pay XXXX I asked him how did the cost go up he said it was taxes and interest. I said I will call back and he attempted to keep me on the phone implyingI wouldnt want to end the call like this. It will be perceived as I dont want to pay the debt. I have nothing in writing from this company, the numbers arent accurate, thats why my attempts have been made to contact them as I am aware of money owed when I moved out in XXXX. There are to many discrepancies in the balance and unfairness and I am asking for this account to be deleted from my rental profile. The call was getting uncomfortable so and I hung up. He wanted to conduct a hardship application over the phone, then implied it would change anything. Just give me resources, I have never encountered or heard anything like this.",1,
14399364,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,TX,"CCS Financial Services, Inc.",2025-07-01,"My name is XXXX XXXX, and I am filing a complaint regarding how the three major credit bureaus XXXX XXXX and XXXX are violating the Fair Credit Reporting Act ( FCRA ), specifically 15 U.S.C. 1681i.

I have disputed inaccurate or unverified information on my credit reports and submitted proper documentation. However, all three agencies have responded with a generic verified result, even though no proper investigation appears to have been conducted.

I believe they are simply reconfirming the information with the furnisher the same business partner who submitted it without independently validating the accuracy of the data. This is not a reasonable reinvestigation as required by law.

This practice damages my ability to maintain accurate credit reports and denies me my rights as a consumer. I am not claiming identity theft, so 15 U.S.C. 1681c-2s 4-day rule does not apply, but the agencies are still obligated under 1681i to : Conduct a fair and full reinvestigation within 30 days, Consider the
documentation I submitted, and Remove any unverifiable or inaccurate items.

I respectfully request that the CFPB investigate this issue and hold the credit bureaus accountable for violating federal law. I have included supporting documentation showing my dispute history and the bureaus inadequate responses.

Sincerely, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Date XXXX XXXX XXXX XXXX XXXX",1,
6393585,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,CA,V and H Portfolio,2023-01-03,,1,
8671662,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,LA,"Transfinancial Companies, Inc",2024-04-01,,1,
12764960,Debt collection,I do not know,Threatened to contact someone or share information improperly,Talked to a third-party about your debt,TX,BTH Management,2025-04-01,,1,
