complaint_id,product,sub_product,issue,sub_issue,state,company,date_received,complaint_what_happened,reassessed_escalated,reassessment_notes
9400648,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,NC,"ONLINE Information Services, Inc.",2024-07-01,"I don't recall having a contractual relationship with this collection company. Please give proof that this account belongs on my credit report and that my rights have not been infringed upon ; otherwise, terminate this account immediately. In compliance to 15 U.S. Code 1692e ( 6 ) Debt collectors are legally obligated to adhere to 15 U.S. Code 1692e ( 6 ), which forbids them from providing false information or insinuating inaccuracies about the nature, amount, or legal standing of a debt. It is against the law to make deceptive statements or misrepresentations concerning the debt being pursued for collection.",,
11345298,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Sued you without properly notifying you of lawsuit,NY,"CITIBANK, N.A.",2025-01-01,,,
20843553,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,AR,"CAINE & WEINER COMPANY, INC.",2026-04-01,CAINE WEINER is falsely reporting on my credit. I have never had any accounts with them. Per my research CAINE WEINER is a debt collector. They are falsely reporting on my credit!! Account number is # XXXX is falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.,,
6382370,Debt collection,Auto debt,Attempts to collect debt not owed,Debt is not yours,FL,"EQUIFAX, INC.",2023-01-01,On XXXX Equifax responded to complaint # XXXX and advised that the disputed item XXXX XXXX XXXX is no longer being reported on my consumer report. Can you please advise the date that the account was removed from my consumer report?,,
7183699,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,VA,Resurgent Capital Services L.P.,2023-07-02,,,
6788142,Debt collection,Other debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,DE,"Kriya Capital, LLC",2023-04-03,"Today XXXX I received an email from one of credit card companies stating that I received a negative credit score. Upon investigation I found that XXXX sent my info to collections with credence resource management for {$880.00}. I never had XXXX and this is a result of identity theft. I tried calling Credence and they said the last digit of my SS number was wrong and they arent able to provide me with any information. This is the third time credence has gone above and beyond to affect my credit report. In XXXX, I believe the XXXX, I had to file identity theft when credence dealing with att filed a debt collection on me.",,
6383988,Debt collection,Other debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,AR,T.S. Holdings,2023-01-01,,,
6383960,Debt collection,Medical debt,Written notification about debt,Didn't receive notice of right to dispute,FL,The Law Offices of Mitchell D. Bluhm & Associates,2023-01-02,,,
8667146,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,FL,Experian Information Solutions Inc.,2024-04-01,"This serves as an effort to rectify inaccurate information present in my credit report as published by your company. Following a credit denial attributed to the dissemination of inaccurate details, I wish to formally communicate that I did not provide authorization or instructions for the inclusion of these specific transactions in my consumer report. 
I am formally requesting the blocking and deletion of these accounts. It is crucial to emphasize that this request is not erroneous and is not grounded in any material misrepresentation concerning the necessity to block these transactions.",,
8087366,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,CA,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-01-02,"I hope this letter finds you well. I am writing to bring to your attention a matter concerning my credit report. I recently obtained a copy of my credit report and noticed that there are late payments listed on my account. After reviewing the details, I have come to the realization that these late payments are inaccuracies and do not reflect my actual payment history. 

I understand the importance of an accurate credit report and how it affects my overall creditworthiness. I am writing to formally request the immediate removal of these late payments from my credit report. I believe this action is necessary to ensure the accuracy of my credit history and to maintain a fair representation of my financial responsibility. 

XXXX XXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX XXXX customer service representative. 

XXXX XXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX XXXX customer service representative. 

I would like to highlight that these late payments are not a result of negligence on my part, but rather a mistake or error in reporting. I have consistently been diligent in making timely payments, and these late payments do not align with my financial behavior. 
XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX customer service representative XXXX 

I understand the importance of staying informed about my financial transactions and responsibilities. However, it appears that due to the minimal balance in my account, statements were not generated or sent to me during the specified period. 

I would like to request your assistance in providing me with the missing statements for the mentioned period. Understanding the details of my account activity is crucial for me to manage my finances responsibly. If there are any fees associated with the generation or retrieval of these statements, please inform me in advance. 
I trust this letter finds you well. I am writing to you with regards to my recent discovery of late payments reported on my credit file, specifically related to my account with XXXX XXXX XXXX XXXX Upon reviewing my credit report, I noticed that late payments were recorded during a specific period, and I believe these were a result of a unique circumstance. 

XXXX XXXX XXXX XXXX XXXX Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX customer service representative XXXX 

I would like to provide context for these late payments. During the mentioned period, I did not receive my regular account statements from XXXX XXXX XXXX XXXX After investigating the matter, I learned that the lack of statements was attributed to a very small balance in my account during that specific time frame. 

I fully understand the importance of maintaining a positive credit history, and I take responsibility for any oversights in managing my account. However, the late payments occurred due to circumstances beyond my control, namely the absence of statements that would have alerted me to any outstanding balances. 

I trust this letter finds you well. I am writing to inform you of a recent resolution with my bank, XXXX XXXX XXXX, regarding an internal issue that has affected the reporting of my account status. I would like to request your assistance in updating my credit report accordingly. 
XXXXXXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX customer service representative. 

I recently discovered that there was an internal issue within XXXX XXXX XXXX that led to an incorrect reporting of my account status on my credit report. Despite my consistent and timely payments, the report currently reflects inaccuracies that may have negatively impacted my credit score. 

After addressing this matter with XXXX XXXX XXXX, I am pleased to report that they have acknowledged the internal issue and have agreed to update my account status to reflect that it has always been open and never late. I kindly request that you update my credit report accordingly to accurately reflect the positive standing of my account. 

Enclosed with this letter, you will find supporting documentation from XXXX XXXX XXXX, confirming their acknowledgment of the internal issue and their commitment to rectifying the reporting inaccuracies. 
XXXXXXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX customer service representative. 

I would like to provide clarification regarding the status of my account during a specific period. Due to unforeseen financial challenges, I entered into a forbearance agreement with XXXX XXXX XXXX to temporarily suspend payments on my account. I am pleased to inform you that XXXXXXXX XXXX XXXX and I reached a mutual agreement during this forbearance period, wherein it was agreed that there would be no negative reporting to credit bureaus. 

I kindly request that you update my credit report to accurately reflect the agreed-upon terms during the forbearance period. There should be no indication of negative activity or any reporting that could adversely affect my credit score for that specific timeframe. 

Enclosed with this letter, please find documentation from XXXXXXXX XXXX XXXX  confirming the forbearance agreement and the commitment not to report any negativity during this period. 

I understand the importance of maintaining an accurate credit report, and I appreciate your prompt attention to this matter. Your cooperation in updating my credit report will ensure that my credit history accurately represents the terms agreed upon during the forbearance period. 
I trust this letter finds you well. I am writing to bring to your attention a recent resolution regarding an internal issue with my bank, XXXXXXXX XXXX XXXX that has affected the reporting of my account status on my credit report. I kindly request your assistance in updating this information to accurately reflect the true status of my account. 

XXXXXXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXXXXXX XXXX XXXXXXXX customer service representative XXXX 

Upon careful review of my credit report, I noticed discrepancies in the reporting of my account status. I would like to provide clarification on this matter. Due to an internal issue within XXXXXXXX XXXX XXXXXXXX, my account status was inaccurately reported, suggesting that it was not open or that payments were late. 

After addressing this matter with XXXX XXXX XXXXXXXX, I am pleased to report that they have acknowledged the internal issue and have agreed to update my account status to reflect that it has always been open and never late. I kindly request that you update my credit report accordingly to accurately reflect the positive standing of my account. 

Enclosed with this letter, you will find supporting documentation from XXXXXXXX XXXX XXXX, confirming their acknowledgment of the internal issue and their commitment to rectifying the reporting inaccuracies. 

I understand the importance of maintaining an accurate credit report, and I appreciate your prompt attention to this matter. Your cooperation in updating my credit report will ensure that my credit history is a true representation of my financial responsibility. 

I kindly request that you notify me in writing once the necessary corrections have been made to my credit report. If you require any additional information, please do not hesitate to contact me. 

Thank you for your understanding and assistance in resolving this matter.",,
6789739,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was result of identity theft,CA,Receivables Management Corporation,2023-04-03,,,
11339957,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was result of identity theft,GA,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2025-01-01,,,
18403183,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,SC,Lendmark Financial Services,2026-01-01,,,
